HILIC-pos_Cluster_1113	phytosphingosine
HILIC-pos_Cluster_1148	linoleoyl ethanolamide 
HILIC-pos_Cluster_1160	linoleoyl ethanolamide
HILIC-pos_Cluster_1370	5alpha-cholestanol
HILIC-pos_Cluster_1374	C14 carnitine
HILIC-pos_Cluster_1486	C16 carnitine
HILIC-pos_Cluster_1580	C18:2 carnitine
HILIC-pos_Cluster_1586	C18:1 carnitine
HILIC-pos_Cluster_1593	C18 carnitine
HILIC-pos_Cluster_1673	C20:4 carnitine
HILIC-pos_Cluster_1684	C16:0 LPE
HILIC-pos_Cluster_1691	C20 carnitine
HILIC-pos_Cluster_1773	C16:1 LPC plasmalogen*
HILIC-pos_Cluster_1855	C18:1 LPC plasmalogen*
HILIC-pos_Cluster_1893	C18:1 LPC*
HILIC-pos_Cluster_1899	C18:0 LPC
HILIC-pos_Cluster_2052	bilirubin
HILIC-pos_Cluster_2093	urobilin*
HILIC-pos_Cluster_2293	C16:0 SM
HILIC-pos_Cluster_2372	C36:2 PC*
